Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TotalMinutesFallAsleep,fall_asleep_cat
1503960366,4/12/2016,13162,8.5,8.5,0,1.879999995,0.550000012,6.059999943,0,25,13,328,728,1985,1,327,346,19,Normal
1503960366,4/13/2016,10735,6.96999979,6.96999979,0,1.570000052,0.689999998,4.710000038,0,21,19,217,776,1797,2,384,407,23,Slow
1503960366,4/15/2016,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745,1,412,442,30,Slow
1503960366,4/16/2016,12669,8.159999847,8.159999847,0,2.710000038,0.409999996,5.039999962,0,36,10,221,773,1863,2,340,367,27,Slow
1503960366,4/17/2016,9705,6.480000019,6.480000019,0,3.190000057,0.779999971,2.50999999,0,38,20,164,539,1728,1,700,712,12,Normal
1503960366,4/19/2016,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,2035,1,304,320,16,Normal
1503960366,4/20/2016,10544,6.679999828,6.679999828,0,1.960000038,0.479999989,4.239999771,0,28,12,205,818,1786,1,360,377,17,Normal
1503960366,4/21/2016,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1775,1,325,364,39,Slow
1503960366,4/23/2016,14371,9.039999962,9.039999962,0,2.809999943,0.870000005,5.360000134,0,41,21,262,732,1949,1,361,384,23,Slow
1503960366,4/24/2016,10039,6.409999847,6.409999847,0,2.920000076,0.209999993,3.279999971,0,39,5,238,709,1788,1,430,449,19,Normal
1503960366,4/25/2016,15355,9.800000191,9.800000191,0,5.289999962,0.569999993,3.940000057,0,73,14,216,814,2013,1,277,323,46,Slow
1503960366,4/26/2016,13755,8.789999962,8.789999962,0,2.329999924,0.920000017,5.539999962,0,31,23,279,833,1970,1,245,274,29,Slow
1503960366,4/28/2016,13154,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,48,28,189,782,1898,1,366,393,27,Slow
1503960366,4/29/2016,11181,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16,12,243,815,1837,1,341,354,13,Normal
1503960366,4/30/2016,14673,9.25,9.25,0,3.559999943,1.419999957,4.269999981,0,52,34,217,712,1947,1,404,425,21,Slow
1503960366,5/1/2016,10602,6.809999943,6.809999943,0,2.289999962,1.600000024,2.920000076,0,33,35,246,730,1820,1,369,396,27,Slow
1503960366,5/2/2016,14727,9.710000038,9.710000038,0,3.210000038,0.569999993,5.920000076,0,41,15,277,798,2004,1,277,309,32,Slow
1503960366,5/3/2016,15103,9.659999847,9.659999847,0,3.730000019,1.049999952,4.880000114,0,50,24,254,816,1990,1,273,296,23,Slow
1503960366,5/5/2016,14070,8.899999619,8.899999619,0,2.920000076,1.080000043,4.880000114,0,45,24,250,857,1959,1,247,264,17,Normal
1503960366,5/6/2016,12159,8.029999733,8.029999733,0,1.970000029,0.25,5.809999943,0,24,6,289,754,1896,1,334,367,33,Slow
1503960366,5/7/2016,11992,7.710000038,7.710000038,0,2.460000038,2.119999886,3.130000114,0,37,46,175,833,1821,1,331,349,18,Normal
1503960366,5/8/2016,10060,6.579999924,6.579999924,0,3.529999971,0.319999993,2.730000019,0,44,8,203,574,1740,1,594,611,17,Normal
1503960366,5/9/2016,12022,7.71999979,7.71999979,0,3.450000048,0.529999971,3.74000001,0,46,11,206,835,1819,1,338,342,4,Fast
1503960366,5/10/2016,12207,7.769999981,7.769999981,0,3.349999905,1.159999967,3.25999999,0,46,31,214,746,1859,1,383,403,20,Normal
1503960366,5/11/2016,12770,8.130000114,8.130000114,0,2.559999943,1.00999999,4.550000191,0,36,23,251,669,1783,1,285,306,21,Slow
1644430081,4/29/2016,3176,2.309999943,2.309999943,0,0,0,2.309999943,0,0,0,120,1193,2498,1,119,127,8,Fast
